School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
California State University-Fullerton,State,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 ",33.881506,-117.885446
George Mason University,State,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 ",38.829976,-77.307428
University of Massachusetts-Lowell,State,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 ",42.652864,-71.326809
San Francisco State University,State,"$47,300.00 ","$86,400.00 ","$45,100.00 ","$62,700.00 ","$114,000.00 ","$150,000.00 ",37.721224,-122.476799
University of Arizona,State,"$47,500.00 ","$86,100.00 ","$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 ",32.232672,-110.950815
Clemson University,State,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 ",34.679381,-82.835114
University of Georgia,State,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 ",33.956262,-83.374039
Pennsylvania State University,State,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 ",40.7965,-77.862848
University of Washington,State,"$48,800.00 ","$85,300.00 ","$47,000.00 ","$59,800.00 ","$115,000.00 ","$149,000.00 ",47.65538,-122.30514
Michigan State University,State,"$46,300.00 ","$85,300.00 ","$44,200.00 ","$61,500.00 ","$119,000.00 ","$170,000.00 ",42.73212,-84.476111
University of Rhode Island,State,"$43,900.00 ","$85,300.00 ","$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 ",41.484691,-71.527356
San Diego State University,State,"$46,200.00 ","$85,200.00 ","$45,500.00 ","$61,800.00 ","$116,000.00 ","$158,000.00 ",32.77525,-117.071228
Auburn University,State,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 ",32.599378,-85.488258
Washington State University,State,"$45,300.00 ","$84,700.00 ","$43,600.00 ","$59,000.00 ","$113,000.00 ","$162,000.00 ",46.730448,-117.158168
California State University-Long Beach,State,"$45,100.00 ","$84,700.00 ","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 ",33.782818,-118.11204
Iowa State University,State,"$45,400.00 ","$84,600.00 ","$44,400.00 ","$60,000.00 ","$109,000.00 ","$147,000.00 ",42.026212,-93.648504
University of Delaware,State,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 ",39.679577,-75.752822
University of Colorado-Denver,State,"$46,100.00 ","$84,400.00 ","$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 ",39.745149,-104.837722
California State University-East Bay,State,"$49,200.00 ","$84,300.00 ","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 ",37.657694,-122.054135
State University of New York-Farmingdale,State,"$47,300.00 ","$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 ",40.754224,-73.42832
University of Minnesota,State,"$46,200.00 ","$84,200.00 ","$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 ",44.972851,-93.235464
Arizona State University,State,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 ",33.417721,-111.934383
University of California-Santa Cruz,State,"$44,700.00 ","$84,100.00 ","$46,100.00 ","$62,000.00 ","$121,000.00 ","$165,000.00 ",36.995584,-122.058801
Indiana University-Bloomington,State,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 ",39.16609,-86.526559
University of Iowa,State,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 ",41.661935,-91.536425
Ohio State University,State,"$44,900.00 ","$83,700.00 ","$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 ",39.999324,-83.014853
North Carolina State University,State,"$47,200.00 ","$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 ",35.785111,-78.674517
Oregon State University,State,"$45,100.00 ","$83,300.00 ","$46,900.00 ","$64,000.00 ","$113,000.00 ","$146,000.00 ",44.56395,-123.274723
University of Utah,State,"$45,400.00 ","$83,200.00 ","$43,000.00 ","$58,400.00 ","$116,000.00 ","$148,000.00 ",40.762484,-111.846044
University of Nevada-Reno,State,"$46,500.00 ","$82,900.00 ","$41,900.00 ","$54,600.00 ","$113,000.00 ","$143,000.00 ",39.543642,-119.815377
University of Oklahoma,State,"$44,700.00 ","$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 ",35.209407,-97.444211
University of Arkansas,State,"$44,100.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 ",36.070009,-94.176981
University of Vermont,State,"$44,800.00 ","$82,700.00 ","$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 ",44.477325,-73.196646
